session_id,group_id,student_id,speaking_time_s,num_turns,interruptions,avg_turn_length_s,gaze_peer_pct,gaze_material_pct,gesture_count,chat_messages,doc_edits,idea_units_chat
studio_1,G01,S030,438.6,32,1,13.7,34.5,47.5,15,5,1,1
studio_1,G01,S033,93.9,5,0,18.8,19.6,65.4,11,3,4,1
studio_1,G01,S038,57.2,3,1,19.1,35.9,55.2,5,9,2,3
studio_1,G01,S056,98.8,3,2,32.9,28.4,64.0,5,4,3,1
studio_1,G01,S076,2581.2,122,5,21.2,54.9,33.6,43,4,0,1
studio_1,G02,S017,787.2,64,2,12.3,41.0,44.3,9,8,7,2
studio_1,G02,S019,699.7,53,4,13.2,38.4,55.6,12,4,4,0
studio_1,G02,S026,439.3,28,1,15.7,48.7,45.3,12,2,3,1
studio_1,G02,S064,339.6,25,1,13.6,24.9,49.6,7,3,4,1
studio_1,G02,S120,1228.4,84,2,14.6,34.8,59.2,17,3,3,0
studio_1,G03,S023,125.1,6,0,20.8,32.4,48.9,2,7,4,2
studio_1,G03,S037,137.2,10,0,13.7,24.7,56.7,4,8,5,3
studio_1,G03,S055,1023.1,51,3,20.1,44.5,36.4,25,5,6,0
studio_1,G03,S079,2004.3,86,3,23.3,50.2,43.8,29,10,5,7
studio_1,G03,S100,662.7,32,4,20.7,38.9,42.6,14,11,2,3
studio_1,G04,S002,577.3,61,1,9.5,39.8,52.4,9,6,3,1
studio_1,G04,S050,438.6,46,4,9.5,36.5,57.5,13,7,4,2
studio_1,G04,S087,53.4,3,2,17.8,31.3,60.2,10,4,1,1
studio_1,G04,S090,1980.6,156,7,12.7,52.9,39.5,31,4,6,2
studio_1,G04,S102,24.4,2,0,12.2,20.1,66.0,2,5,6,2
studio_1,G05,S025,829.2,61,4,13.6,44.8,46.2,21,5,3,4
studio_1,G05,S043,13.8,1,0,13.8,34.2,55.6,2,10,4,2
studio_1,G05,S051,591.5,44,5,13.4,32.3,53.9,13,6,10,3
studio_1,G05,S107,1139.9,100,3,11.4,39.0,55.0,24,11,11,4
studio_1,G05,S118,323.9,23,1,14.1,43.9,50.1,8,7,6,0
studio_1,G06,S011,1130.5,76,4,14.9,43.4,50.6,21,4,0,2
studio_1,G06,S045,844.3,61,5,13.8,37.4,53.6,16,4,4,1
studio_1,G06,S053,455.8,47,1,9.7,52.1,36.1,13,5,5,2
studio_1,G06,S073,28.2,2,0,14.1,39.5,47.4,7,4,6,1
studio_1,G06,S116,429.4,33,2,13.0,37.4,56.6,7,4,2,0
studio_1,G07,S001,1248.8,60,5,20.8,45.9,48.1,17,5,7,3
studio_1,G07,S010,1072.1,56,4,19.1,37.7,42.0,15,9,2,2
studio_1,G07,S044,60.6,2,0,30.3,38.1,55.9,7,2,5,0
studio_1,G07,S063,677.7,26,2,26.1,36.6,38.6,12,2,2,1
studio_1,G07,S071,50.7,1,0,50.7,31.9,62.1,3,9,2,1
studio_1,G08,S021,397.9,14,3,28.4,23.0,67.8,11,9,0,1
studio_1,G08,S047,375.6,14,2,26.8,28.5,51.3,10,9,3,5
studio_1,G08,S068,1489.4,62,10,24.0,50.8,31.2,15,11,4,7
studio_1,G08,S088,443.7,19,1,23.4,32.3,59.2,13,7,1,3
studio_1,G08,S108,410.8,19,1,21.6,38.7,45.2,21,3,13,1
studio_1,G09,S029,209.9,8,2,26.2,50.3,26.6,12,4,4,1
studio_1,G09,S036,538.1,39,4,13.8,35.7,58.3,14,10,4,2
studio_1,G09,S067,716.3,41,0,17.5,41.4,37.6,17,4,0,1
studio_1,G09,S077,895.3,43,1,20.8,51.6,42.4,23,6,2,3
studio_1,G09,S082,587.8,39,1,15.1,36.0,53.7,14,10,2,3
studio_1,G10,S009,800.2,50,6,16.0,36.2,50.7,17,9,0,4
studio_1,G10,S015,34.5,3,0,11.5,33.2,60.8,7,11,19,8
studio_1,G10,S078,1141.1,76,3,15.0,32.3,61.7,20,11,5,3
studio_1,G10,S083,1449.9,90,4,16.1,46.3,39.0,31,9,6,4
studio_1,G10,S103,56.0,2,0,28.0,25.5,64.4,12,2,4,0
studio_1,G11,S046,322.7,18,3,17.9,41.3,51.6,16,8,4,1
studio_1,G11,S058,9.9,1,0,9.9,34.5,47.6,6,10,1,2
studio_1,G11,S081,747.1,50,1,14.9,31.2,46.7,12,8,2,4
studio_1,G11,S092,189.1,13,4,14.5,34.5,59.5,4,10,10,2
studio_1,G11,S105,1901.0,108,5,17.6,51.2,42.8,25,3,1,2
studio_1,G12,S013,637.0,55,2,11.6,34.9,49.6,16,5,3,1
studio_1,G12,S057,585.8,52,1,11.3,31.5,58.5,12,11,4,4
studio_1,G12,S059,165.5,11,2,15.0,20.9,62.5,2,5,7,2
studio_1,G12,S084,1437.6,116,3,12.4,56.1,37.9,23,7,3,2
studio_1,G12,S095,223.8,14,3,16.0,30.3,58.9,7,1,4,1
studio_1,G13,S012,367.1,24,0,15.3,35.1,58.9,13,13,6,5
studio_1,G13,S022,296.5,20,2,14.8,37.1,56.9,4,9,7,4
studio_1,G13,S061,940.3,43,1,21.9,44.5,41.1,16,10,4,3
studio_1,G13,S072,1511.2,72,4,21.0,39.4,41.9,22,7,1,1
studio_1,G13,S091,269.8,12,1,22.5,35.4,52.3,9,5,7,3
studio_1,G14,S031,333.7,18,0,18.5,33.0,53.1,11,8,2,3
studio_1,G14,S039,1096.8,62,4,17.7,41.7,52.3,21,12,4,7
studio_1,G14,S065,981.2,71,3,13.8,53.6,38.7,26,6,5,2
studio_1,G14,S074,155.6,14,3,11.1,33.9,60.1,10,4,8,2
studio_1,G14,S104,85.5,7,2,12.2,30.9,55.7,4,4,2,0
studio_1,G15,S006,290.2,21,2,13.8,37.1,51.0,11,12,7,5
studio_1,G15,S014,1215.8,77,4,15.8,43.6,45.4,18,8,2,3
studio_1,G15,S020,382.0,31,1,12.3,48.5,45.5,10,6,9,3
studio_1,G15,S032,409.4,23,5,17.8,38.7,51.0,11,5,9,1
studio_1,G15,S034,912.7,56,4,16.3,41.1,52.9,16,7,0,1
studio_1,G16,S007,565.5,35,3,16.2,41.7,45.4,12,6,10,0
studio_1,G16,S052,128.3,5,1,25.7,26.2,60.5,8,13,0,3
studio_1,G16,S070,878.2,68,3,12.9,51.1,42.9,17,19,0,5
studio_1,G16,S080,800.7,57,4,14.0,33.2,60.8,16,5,3,2
studio_1,G16,S109,478.8,31,1,15.4,31.9,58.8,13,10,3,6
studio_1,G17,S016,209.0,16,2,13.1,34.6,54.4,7,3,6,1
studio_1,G17,S035,317.8,15,0,21.2,17.6,70.0,9,4,2,0
studio_1,G17,S062,396.0,29,4,13.7,40.1,44.4,12,11,5,5
studio_1,G17,S086,442.2,24,4,18.4,39.4,54.6,9,9,9,4
studio_1,G17,S099,1870.0,117,5,16.0,43.7,50.3,27,6,6,1
studio_1,G18,S004,181.1,10,1,18.1,40.7,52.0,3,6,4,2
studio_1,G18,S054,647.5,46,2,14.1,34.9,59.1,10,1,0,0
studio_1,G18,S069,891.3,57,4,15.6,47.8,46.2,19,4,6,0
studio_1,G18,S075,599.6,29,1,20.7,40.6,53.4,5,6,0,1
studio_1,G18,S101,723.0,41,2,17.6,45.4,48.6,15,3,3,1
studio_1,G19,S003,124.6,8,0,15.6,25.9,60.1,7,2,0,2
studio_1,G19,S008,105.0,6,0,17.5,29.9,46.3,10,7,8,4
studio_1,G19,S018,768.9,68,3,11.3,36.8,55.7,21,5,9,1
studio_1,G19,S042,389.1,30,2,13.0,32.9,47.9,11,8,2,3
studio_1,G19,S066,1719.3,131,5,13.1,49.0,45.0,36,8,6,3
studio_1,G20,S089,145.3,17,0,8.5,33.8,43.1,9,6,11,4
studio_1,G20,S112,657.1,62,3,10.6,42.3,50.7,14,15,0,6
studio_1,G20,S113,159.6,10,1,16.0,37.9,53.2,8,8,9,3
studio_1,G20,S117,454.1,46,3,9.9,44.0,50.0,8,5,4,1
studio_1,G20,S119,1281.4,113,2,11.3,51.0,43.0,33,10,0,1
studio_1,G21,S085,934.4,53,2,17.6,51.2,42.8,15,8,5,2
studio_1,G21,S094,816.4,45,3,18.1,38.5,55.5,16,1,7,1
studio_1,G21,S098,655.9,36,3,18.2,44.9,49.1,13,13,7,5
studio_1,G21,S111,598.1,35,1,17.1,35.7,58.3,6,8,5,3
studio_1,G21,S115,187.2,19,1,9.9,40.5,39.3,6,7,7,5
studio_1,G22,S027,627.7,39,3,16.1,42.9,51.1,13,12,6,6
studio_1,G22,S093,601.7,31,1,19.4,36.4,57.1,6,15,2,6
studio_1,G22,S096,600.3,44,5,13.6,49.1,30.0,11,11,4,3
studio_1,G22,S097,406.7,37,3,11.0,40.1,53.9,6,2,2,0
studio_1,G22,S110,717.2,34,4,21.1,44.7,49.3,15,11,11,6
studio_1,G23,S024,567.4,42,0,13.5,45.7,48.3,13,8,1,3
studio_1,G23,S040,455.9,33,2,13.8,35.1,44.1,13,7,4,1
studio_1,G23,S049,1001.4,95,6,10.5,39.5,54.5,23,6,2,2
studio_1,G23,S106,459.4,56,1,8.2,32.9,45.9,11,12,8,3
studio_1,G23,S114,225.3,9,3,25.0,35.8,55.1,7,11,2,6
studio_1,G24,S005,147.8,5,0,29.6,28.2,53.1,7,4,7,2
studio_1,G24,S028,572.9,38,0,15.1,29.7,62.6,12,10,11,3
studio_1,G24,S041,1167.0,61,3,19.1,42.3,51.7,22,4,1,2
studio_1,G24,S048,454.2,25,1,18.2,42.2,46.9,7,7,5,3
studio_1,G24,S060,944.6,39,4,24.2,34.6,59.4,20,5,0,2
studio_2,G01,S030,391.8,39,0,10.0,31.9,60.9,5,1,3,0
studio_2,G01,S033,2134.7,170,9,12.6,40.5,53.5,41,4,3,3
