player_id,grade_level,pre_score,post_score
P001,7,9,12
P002,6,15,13
P003,6,6,11
P004,7,9,7
P005,6,17,20
P006,7,11,11
P007,7,10,14
P008,6,15,12
P009,6,15,18
P010,6,8,13
P011,6,8,12
P012,6,16,17
P013,7,9,11
P014,6,9,14
P015,7,8,14
P016,6,12,13
P017,7,8,17
P018,7,8,12
P019,7,15,20
P020,7,5,8
P021,6,11,19
P022,6,11,14
P023,7,8,8
P024,7,12,16
P025,7,10,15
P026,6,6,4
P027,7,15,13
P028,6,16,17
P029,6,9,12
P030,6,13,16
P031,6,13,17
P032,6,8,14
P033,6,16,18
P034,6,12,11
P035,7,18,17
P036,7,19,20
P037,7,15,18
P038,6,13,12
P039,6,10,12
P040,6,9,13
P041,7,11,12
P042,6,14,17
P043,7,12,16
P044,7,12,13
P045,7,14,14
P046,6,12,14
P047,7,11,14
P048,7,8,11
P049,7,12,15
P050,6,6,6
P051,6,13,12
P052,6,15,16
P053,6,11,13
P054,7,10,16
P055,6,13,18
P056,6,12,18
P057,6,7,12
P058,7,11,12
P059,7,11,14
P060,6,10,9
P061,6,8,14
P062,7,11,16
P063,6,16,20
P064,6,8,10
P065,6,17,17
P066,7,11,9
P067,6,12,15
P068,6,8,13
P069,7,11,16
P070,7,10,16
P071,6,14,15
P072,6,8,10
P073,7,7,12
P074,6,7,9
P075,7,7,5
P076,7,12,20
P077,7,14,15
P078,7,10,14
P079,7,10,14
P080,6,12,17
P081,7,9,9
P082,6,9,10
P083,7,2,10
P084,6,8,13
P085,6,13,17
P086,7,15,20
P087,7,10,14
P088,7,17,16
P089,7,5,11
P090,7,14,13
P091,6,7,5
P092,7,15,19
P093,7,16,20
P094,7,12,15
P095,6,11,18
P096,7,10,11
P097,6,13,17
P098,6,16,16
P099,7,6,13
P100,6,9,13
P101,6,10,16
P102,7,5,12
P103,7,14,15
P104,6,8,13
P105,6,9,10
P106,7,14,20
P107,6,13,19
P108,7,6,7
P109,6,5,8
P110,7,5,9
P111,7,10,17
P112,7,8,15
P113,6,10,19
P114,6,13,12
P115,7,14,20
P116,6,9,17
P117,7,5,10
P118,7,12,16
P119,7,13,13
P120,7,16,19
P121,6,12,16
P122,7,5,6
P123,7,9,15
P124,7,12,19
P125,7,8,11
P126,7,13,16
P127,6,10,12
P128,6,12,17
P129,6,12,15
P130,7,4,11
P131,7,14,16
P132,6,14,16
P133,6,13,18
P134,7,10,15
P135,7,0,6
P136,7,12,11
P137,7,7,12
P138,6,16,15
P139,7,8,14
P140,7,17,18
P141,6,10,14
P142,6,10,17
P143,6,13,16
P144,7,12,11
P145,6,15,20
P146,7,5,6
P147,7,13,19
P148,6,8,10
P149,7,18,20
P150,6,9,13
P151,7,5,12
P152,7,11,12
P153,6,17,18
P154,7,12,14
P155,6,7,14
P156,7,10,12
P157,6,11,14
P158,7,16,17
P159,7,8,11
P160,6,10,13
P161,6,8,8
P162,7,9,10
P163,7,10,14
P164,6,16,17
P165,7,13,18
P166,6,4,13
P167,6,6,14
P168,6,12,15
P169,6,13,14
P170,7,14,16
P171,7,13,18
P172,6,7,12
P173,6,19,20
P174,6,12,15
P175,6,12,14
P176,6,8,9
P177,6,7,11
P178,6,13,16
P179,6,10,15
P180,7,14,15
P181,6,14,17
P182,7,9,12
P183,7,6,9
P184,6,17,17
P185,6,7,9
P186,7,11,15
P187,7,9,8
P188,7,14,16
P189,6,10,11
P190,7,9,10
P191,6,12,11
P192,7,5,8
P193,6,9,11
P194,7,10,12
P195,6,10,16
P196,6,12,16
P197,7,10,16
P198,7,12,13
P199,6,12,14
P200,6,7,13
