group_id,session_id,artifact_score
G01,studio_1,3.8
G02,studio_1,7.9
G03,studio_1,6.0
G04,studio_1,6.7
G05,studio_1,8.6
G06,studio_1,5.3
G07,studio_1,6.2
G08,studio_1,6.4
G09,studio_1,7.7
G10,studio_1,8.1
G11,studio_1,2.9
G12,studio_1,5.9
G13,studio_1,7.0
G14,studio_1,7.1
G15,studio_1,9.1
G16,studio_1,10.0
G17,studio_1,5.8
G18,studio_1,5.4
G19,studio_1,2.9
G20,studio_1,4.9
G21,studio_1,9.0
G22,studio_1,6.8
G23,studio_1,7.7
G24,studio_1,6.7
G01,studio_2,5.6
G02,studio_2,7.3
G03,studio_2,5.5
G04,studio_2,5.9
G05,studio_2,5.2
G06,studio_2,7.0
G07,studio_2,6.7
G08,studio_2,7.3
G09,studio_2,5.5
G10,studio_2,9.9
G11,studio_2,5.0
G12,studio_2,6.6
G13,studio_2,5.8
G14,studio_2,4.3
G15,studio_2,7.5
G16,studio_2,5.7
G17,studio_2,7.5
G18,studio_2,8.5
G19,studio_2,9.8
G20,studio_2,6.0
G21,studio_2,5.5
G22,studio_2,6.7
G23,studio_2,7.5
G24,studio_2,6.5
G01,studio_3,7.5
G02,studio_3,5.4
G03,studio_3,5.1
G04,studio_3,5.1
G05,studio_3,7.6
G06,studio_3,4.7
G07,studio_3,3.7
G08,studio_3,6.8
G09,studio_3,7.9
G10,studio_3,8.1
G11,studio_3,3.5
G12,studio_3,5.5
G13,studio_3,5.4
G14,studio_3,6.0
G15,studio_3,6.7
G16,studio_3,9.4
G17,studio_3,7.6
G18,studio_3,7.8
G19,studio_3,6.0
G20,studio_3,7.3
G21,studio_3,6.4
G22,studio_3,6.3
G23,studio_3,7.5
G24,studio_3,6.8
G01,studio_4,5.8
G02,studio_4,5.2
G03,studio_4,8.6
G04,studio_4,3.0
G05,studio_4,5.3
G06,studio_4,10.0
G07,studio_4,7.9
G08,studio_4,6.6
G09,studio_4,7.3
G10,studio_4,7.9
G11,studio_4,4.9
G12,studio_4,4.1
G13,studio_4,8.3
G14,studio_4,5.8
G15,studio_4,7.5
G16,studio_4,8.7
G17,studio_4,6.4
G18,studio_4,5.9
G19,studio_4,7.3
G20,studio_4,7.4
G21,studio_4,6.9
G22,studio_4,6.5
G23,studio_4,9.2
G24,studio_4,6.7
G01,studio_5,5.0
G02,studio_5,5.7
G03,studio_5,5.9
G04,studio_5,5.3
G05,studio_5,7.3
G06,studio_5,6.3
G07,studio_5,6.3
G08,studio_5,7.2
G09,studio_5,6.0
G10,studio_5,6.8
G11,studio_5,4.9
G12,studio_5,6.7
G13,studio_5,7.4
G14,studio_5,5.8
G15,studio_5,5.0
G16,studio_5,7.6
G17,studio_5,6.7
G18,studio_5,7.1
G19,studio_5,6.2
G20,studio_5,5.9
G21,studio_5,4.6
G22,studio_5,7.0
G23,studio_5,9.3
G24,studio_5,6.4
G01,studio_6,4.6
G02,studio_6,5.0
G03,studio_6,8.3
G04,studio_6,7.6
G05,studio_6,7.2
G06,studio_6,5.6
G07,studio_6,7.7
G08,studio_6,6.4
G09,studio_6,6.0
G10,studio_6,7.0
G11,studio_6,6.9
G12,studio_6,9.0
G13,studio_6,6.2
G14,studio_6,6.0
G15,studio_6,8.0
G16,studio_6,5.8
G17,studio_6,9.4
G18,studio_6,6.2
G19,studio_6,6.0
G20,studio_6,6.6
G21,studio_6,8.9
G22,studio_6,8.1
G23,studio_6,8.1
G24,studio_6,7.1
G01,studio_7,6.4
G02,studio_7,5.5
G03,studio_7,8.0
G04,studio_7,7.6
G05,studio_7,5.7
G06,studio_7,4.5
G07,studio_7,7.6
G08,studio_7,6.6
G09,studio_7,7.9
G10,studio_7,8.5
G11,studio_7,4.5
G12,studio_7,7.1
G13,studio_7,5.6
G14,studio_7,8.6
G15,studio_7,6.7
G16,studio_7,5.9
G17,studio_7,7.9
G18,studio_7,7.2
G19,studio_7,6.8
G20,studio_7,7.2
G21,studio_7,7.0
G22,studio_7,6.1
G23,studio_7,7.4
G24,studio_7,4.6
G01,studio_8,5.3
G02,studio_8,7.6
G03,studio_8,6.7
G04,studio_8,5.9
G05,studio_8,4.9
G06,studio_8,7.3
G07,studio_8,7.7
G08,studio_8,5.8
G09,studio_8,6.4
G10,studio_8,7.5
G11,studio_8,6.3
G12,studio_8,7.1
G13,studio_8,7.0
G14,studio_8,7.3
G15,studio_8,5.2
G16,studio_8,7.8
G17,studio_8,10.0
G18,studio_8,6.2
G19,studio_8,5.7
G20,studio_8,5.2
G21,studio_8,7.3
G22,studio_8,4.6
G23,studio_8,7.1
G24,studio_8,7.5
