message_id,group_id,session_id,student_id,timestamp,text
M00001,G10,studio_1,S083,2026-09-10T16:01:01,right i think the testing effect showed up even in the ungraded condition which is the interesting part right
M00002,G03,studio_1,S100,2026-09-10T16:01:04,i'm not sure i follow what do you think
M00003,G05,studio_1,S107,2026-09-10T16:01:08,yeah who is taking notes today right
M00004,G06,studio_1,S011,2026-09-10T16:01:12,so what does that term mean again
M00005,G12,studio_1,S084,2026-09-10T16:01:14,right let's split this fifteen ways or am i off
M00006,G03,studio_1,S037,2026-09-10T16:01:25,yeah i'm not sure i follow right
M00007,G16,studio_1,S007,2026-09-10T16:01:32,oh can you say more about that
M00008,G15,studio_1,S034,2026-09-10T16:01:39,hey does everyone have the reading open does that track
M00009,G07,studio_1,S010,2026-09-10T16:01:43,yeah we have ten minutes left what do you think
M00010,G24,studio_1,S048,2026-09-10T16:01:43,good point
M00011,G21,studio_1,S098,2026-09-10T16:01:56,alright running two minutes late
M00012,G16,studio_1,S109,2026-09-10T16:02:07,right i think we could open with the difference between recognizing and producing does that track
M00013,G02,studio_1,S019,2026-09-10T16:02:14,my wifi dropped sorry does that track
M00014,G15,studio_1,S014,2026-09-10T16:02:20,really
M00015,G17,studio_1,S099,2026-09-10T16:02:24,so running two minutes late
M00016,G03,studio_1,S037,2026-09-10T16:02:27,ok honestly we could open with the difference between recognizing and producing or am i off
M00017,G15,studio_1,S032,2026-09-10T16:02:55,"ok not sure, but the testing effect showed up even in the ungraded condition which is the interesting part what do you think"
M00018,G06,studio_1,S073,2026-09-10T16:03:14,maybe the testing effect showed up even in the ungraded condition which is the interesting part lol
M00019,G20,studio_1,S117,2026-09-10T16:03:16,so same here honestly if that works for everyone
M00020,G09,studio_1,S077,2026-09-10T16:03:18,so cues matter as much as effort when you are trying to bring something back right
M00021,G05,studio_1,S107,2026-09-10T16:03:19,someone should own part 2 right
M00022,G09,studio_1,S082,2026-09-10T16:03:19,putting the question at the top of the doc right
M00023,G13,studio_1,S091,2026-09-10T16:03:24,"for the doc, our example should be the blank page recall one if that works for everyone"
M00024,G05,studio_1,S051,2026-09-10T16:03:28,wait good point
M00025,G06,studio_1,S116,2026-09-10T16:03:30,hey what does that term mean again what do you think
M00026,G24,studio_1,S028,2026-09-10T16:03:32,alright oh interesting
M00027,G19,studio_1,S008,2026-09-10T16:03:32,so we could open with the difference between recognizing and producing what do you think
M00028,G23,studio_1,S040,2026-09-10T16:03:50,alright really
M00029,G23,studio_1,S106,2026-09-10T16:03:58,"counterpoint, i think recall beats rereading for us because the exam is all application if that works for everyone"
M00030,G08,studio_1,S021,2026-09-10T16:04:01,ok sorry can you repeat that does that track
M00031,G17,studio_1,S062,2026-09-10T16:04:08,hey no worries
M00032,G24,studio_1,S005,2026-09-10T16:04:43,yeah let's timebox this to ten minutes what do you think
M00033,G22,studio_1,S096,2026-09-10T16:04:49,right i lost the example again sorry
M00034,G15,studio_1,S014,2026-09-10T16:04:56,so hold on let me reread the prompt
M00035,G05,studio_1,S043,2026-09-10T16:05:10,alright do you mean the rubric or the other one
M00036,G20,studio_1,S113,2026-09-10T16:05:17,yeah fair enough
M00037,G11,studio_1,S046,2026-09-10T16:05:24,hey i lost the table again sorry if that works for everyone
M00038,G06,studio_1,S053,2026-09-10T16:05:33,alright maybe we say encoding decides which cues work later?
M00039,G03,studio_1,S100,2026-09-10T16:05:34,hey i'll take the summary right
M00040,G06,studio_1,S011,2026-09-10T16:05:46,hmm my read is cues matter as much as effort when you are trying to bring something back sorry if that is obvious
M00041,G01,studio_1,S033,2026-09-10T16:05:52,ok maybe we could open with the difference between recognizing and producing
M00042,G20,studio_1,S117,2026-09-10T16:05:52,oh are we answering question two or the next one
M00043,G04,studio_1,S050,2026-09-10T16:05:53,"for the doc, i think recall beats rereading for us because the exam is all application?"
M00044,G09,studio_1,S036,2026-09-10T16:06:02,ok that made me laugh
M00045,G09,studio_1,S029,2026-09-10T16:06:03,hey my read is we could open with the difference between recognizing and producing sorry if that is obvious
M00046,G13,studio_1,S091,2026-09-10T16:06:09,ok chunking is basically why the experts in the study looked faster right
M00047,G13,studio_1,S012,2026-09-10T16:06:13,hey chunking is basically why the experts in the study looked faster
M00048,G17,studio_1,S099,2026-09-10T16:06:15,right are we answering question three or the next one
M00049,G20,studio_1,S089,2026-09-10T16:06:20,"ok from the reading, our example should be the blank page recall one"
M00050,G01,studio_1,S038,2026-09-10T16:06:26,"not sure, but cues matter as much as effort when you are trying to bring something back if that works for everyone"
M00051,G23,studio_1,S114,2026-09-10T16:06:27,so so chunking is basically why the experts in the study looked faster sorry if that is obvious
M00052,G22,studio_1,S096,2026-09-10T16:06:28,hmm can you give an example if that works for everyone
M00053,G22,studio_1,S096,2026-09-10T16:06:34,yeah who is taking notes today
